confidence_group,count,top_1_accuracy,top_5_hit_rate,mean_confidence,median_margin,median_true_rank
High confidence,1126,0.6208,0.8259,0.0123,0.0043,1.0
Low confidence,1104,0.1513,0.3832,0.0057,0.0003,10.0
Mid confidence,2152,0.2876,0.5985,0.0076,0.0011,3.0
