record_id,wos_uid,title,abstract,journal,pub_year,subjects,keywords,keyword_plus,abstract_only_text,abstract_keywords_text,abstract_keywords_subjects_text,combined_text,title_abstract_text,abstract_query_text,document_type,publication_type,journal_article_count,subject_list,keyword_list,keyword_plus_list,cluster_id,cluster_label,cluster_description,is_top_5,true_rank,primary_subject
94293,WOS:000087587200003,Substructural identification using neural networks,"In relation to the problems of damage detection and safety assessment of existing structures, the estimation of the element-level stiffness parameters becomes an important issue. This study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. Several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. They are the substructural identification and the submatrix scaling factor. The natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. The Latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. Noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors, Two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. (C) 2000 Elsevier Science Ltd. Ail rights reserved.",COMPUTERS & STRUCTURES,2000,"Computer Science, Interdisciplinary Applications; Engineering, Civil; Computer Science; Engineering",substructuring identification; neural networks; modal data; noise injection learning; Latin hypercube sampling; component mode synthesis,STRUCTURAL DAMAGE DETECTION; PARAMETERS; DOMAIN; NOISE,in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved.,in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved.. keywords substructuring identification neural networks modal data noise injection learning latin hypercube sampling component mode synthesis,in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved.. keywords substructuring identification neural networks modal data noise injection learning latin hypercube sampling component mode synthesis. subjects computer science interdisciplinary applications engineering civil computer science engineering,substructural identification using neural networks. in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved.. keywords substructuring identification neural networks modal data noise injection learning latin hypercube sampling component mode synthesis. keyword plus structural damage detection parameters domain noise,substructural identification using neural networks. in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved,in relation to the problems of damage detection and safety assessment of existing structures the estimation of the element-level stiffness parameters becomes an important issue. this study presents a method for estimating the stiffness parameters of a complex structural system by using a backpropagation neural network. several techniques are employed to overcome the issues associated with many unknown parameters in a large structural system. they are the substructural identification and the submatrix scaling factor. the natural frequencies and mode shapes are used as input patterns to the neural network for effective element-level identification particularly for the case with incomplete measurements of the mode shapes. the latin hypercube sampling and the component mode synthesis methods are adapted for efficient generation of the patterns for training the neural network. noise injection technique is also employed during the learning process to reduce the deterioration of the estimation accuracy due to measurement errors two numerical example analyses on a truss and a frame structures are presented to demonstrate the effectiveness of the present method. c 2000 elsevier science ltd. ail rights reserved.,Article,Journal,76,"['Computer Science, Interdisciplinary Applications', 'Engineering, Civil', 'Computer Science', 'Engineering']","['substructuring identification', 'neural networks', 'modal data', 'noise injection learning', 'Latin hypercube sampling', 'component mode synthesis']","['STRUCTURAL DAMAGE DETECTION', 'PARAMETERS', 'DOMAIN', 'NOISE']",49,Artificial Intelligence,"Subjects: Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods, Engineering. Terms: neural, neural networks, neural network, network, networks, learning, artificial, artificial neural, deep, prediction.",True,1,"Computer Science, Interdisciplinary Applications"
92267,WOS:000087428800004,On surface normal and Gaussian curvature approximations given data sampled from a smooth surface,Approximations to the surface normal and to the Gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. The accuracy of an approximation can be measured using asymptotic analysis. The errors of several approximations to the surface normal and to the Gaussian curvature are compared. (C) 2000 Elsevier Science B.V. All rights reserved.,COMPUTER AIDED GEOMETRIC DESIGN,2000,"Computer Science, Software Engineering; Mathematics, Applied; Computer Science; Mathematics",approximate normal to a surface; approximate Gaussian curvature of a surface; error analysis,SEGMENTATION,approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved.,approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved.. keywords approximate normal to a surface approximate gaussian curvature of a surface error analysis,approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved.. keywords approximate normal to a surface approximate gaussian curvature of a surface error analysis. subjects computer science software engineering mathematics applied computer science mathematics,on surface normal and gaussian curvature approximations given data sampled from a smooth surface. approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved.. keywords approximate normal to a surface approximate gaussian curvature of a surface error analysis. keyword plus segmentation,on surface normal and gaussian curvature approximations given data sampled from a smooth surface. approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved,approximations to the surface normal and to the gaussian curvature of a smooth surface are often required when the surface is defined by a set of discrete points. the accuracy of an approximation can be measured using asymptotic analysis. the errors of several approximations to the surface normal and to the gaussian curvature are compared. c 2000 elsevier science b.v. all rights reserved.,Article,Journal,76,"['Computer Science, Software Engineering', 'Mathematics, Applied', 'Computer Science', 'Mathematics']","['approximate normal to a surface', 'approximate Gaussian curvature of a surface', 'error analysis']",['SEGMENTATION'],39,Software Engineering,"Subjects: Computer Science, Computer Science, Software Engineering, Mathematics, Mathematics, Applied, Engineering. Terms: 3d, surface, mesh, shape, method, point, surfaces, meshes, approach, elsevier.",True,1,"Computer Science, Software Engineering"
97062,WOS:000089419400001,Analyzing human-computer interaction as distributed cognition: The resources model,"In this article we present a new approach to interaction modeling based on the concept of information resources. The approach is inspired by recent distributed cognition (DC) literature but develops a model that applies specifically to human-computer interaction (HCI) modeling. Of course, there are many approaches to modeling HCI, and the motivation of this article is not to offer yet another approach. Rather, our motivation is that the recent developments in DC are so obviously relevant to HCI modeling and design, yet the ideas have lacked visibility in the HCI community. By providing a model whose concepts are rooted in DC concepts, we hope to achieve this visibility. DC research identifies resources for action as central to the interaction between people and technologies, but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. The resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. We demonstrate how these abstract types can be represented differently in an interface. The resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users' actions. These 2 components of the resources model (information structures and interaction strategies), through the process of coordination and integration, provide a link among devices, representations, and actions that is not well articulated in the DC literature.",HUMAN-COMPUTER INTERACTION,2000,"Computer Science, Cybernetics; Computer Science, Theory & Methods; Computer Science",,REPRESENTATIONS; FRAMEWORK; WORK,in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature.,in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature.. keywords,in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature.. keywords . subjects computer science cybernetics computer science theory methods computer science,analyzing human-computer interaction as distributed cognition the resources model. in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature.. keywords . keyword plus representations framework work,analyzing human-computer interaction as distributed cognition the resources model. in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature,in this article we present a new approach to interaction modeling based on the concept of information resources. the approach is inspired by recent distributed cognition dc literature but develops a model that applies specifically to human-computer interaction hci modeling. of course there are many approaches to modeling hci and the motivation of this article is not to offer yet another approach. rather our motivation is that the recent developments in dc are so obviously relevant to hci modeling and design yet the ideas have lacked visibility in the hci community. by providing a model whose concepts are rooted in dc concepts we hope to achieve this visibility. dc research identifies resources for action as central to the interaction between people and technologies but it stops short of providing a definition of such resources at a level that could be used to analyze interaction. the resources model described in this article defines a limited number of resource types as abstract information structures that can be used to analyze interaction. we demonstrate how these abstract types can be represented differently in an interface. the resources model uses the concept of interaction strategy to describe the way in which different configurations of resources can differently shape users actions. these 2 components of the resources model information structures and interaction strategies through the process of coordination and integration provide a link among devices representations and actions that is not well articulated in the dc literature.,Article,Journal,76,"['Computer Science, Cybernetics', 'Computer Science, Theory & Methods', 'Computer Science']",[],"['REPRESENTATIONS', 'FRAMEWORK', 'WORK']",6,Information Systems,"Subjects: Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods. Terms: data, systems, design, research, information, management, analysis, security, framework, user.",True,1,"Computer Science, Cybernetics"
